Date,Description,Merchant,Amount,Category
17-06-2026,Metro Card 17 Jun,Metro Card,32.0,Transport
17-06-2026,Zepto 17 Jun,Zepto,350.0,Groceries
17-06-2026,Metro Card 17 Jun,Metro Card,44.0,Transport
17-06-2026,BookMyShow 17 Jun,BookMyShow,786.0,Entertainment
17-06-2026,Uber 17 Jun,Uber,463.0,Transport
17-06-2026,Cash Withdrawal 17 Jun,Cash Withdrawal,4098.0,Other
18-01-2026,Pizza Hut 18 Jan,Pizza Hut,663.0,Food & Dining
18-01-2026,Reliance Fresh 18 Jan,Reliance Fresh,2187.0,Groceries
18-01-2026,Local Cafe 18 Jan,Local Cafe,245.0,Food & Dining
18-01-2026,Pizza Hut 18 Jan,Pizza Hut,818.0,Food & Dining
18-01-2026,Health Checkup 18 Jan,Health Checkup,1410.0,Healthcare
18-01-2026,Swiggy 18 Jan,Swiggy,565.0,Food & Dining
18-01-2026,Zepto 18 Jan,Zepto,313.0,Groceries
18-01-2026,Zomato 18 Jan,Zomato,908.0,Food & Dining
18-01-2026,Zomato 18 Jan,Zomato,831.0,Food & Dining
18-01-2026,Metro Card 18 Jan,Metro Card,48.0,Transport
18-01-2026,Local Grocer 18 Jan,Local Grocer,640.0,Groceries
18-01-2026,Dosa Plaza 18 Jan,Dosa Plaza,276.0,Food & Dining
18-01-2026,Electricity Board 18 Jan,Electricity Board,1236.0,Bills & Utilities
18-01-2026,McDonalds 18 Jan,McDonalds,247.0,Food & Dining
18-01-2026,BPCL 18 Jan,BPCL,1974.0,Transport
18-02-2026,Nykaa 18 Feb,Nykaa,1505.0,Shopping
18-02-2026,Steam 18 Feb,Steam,1194.0,Entertainment
18-02-2026,Amazon 18 Feb,Amazon,3105.0,Shopping
18-02-2026,Society Maintenance 18 Feb,Society Maintenance,2946.0,Bills & Utilities
18-02-2026,Pizza Hut 18 Feb,Pizza Hut,485.0,Food & Dining
18-02-2026,PVR 18 Feb,PVR,435.0,Entertainment
18-02-2026,Dosa Plaza 18 Feb,Dosa Plaza,195.0,Food & Dining
18-03-2026,Swiggy 18 Mar,Swiggy,565.0,Food & Dining
18-03-2026,Gym Membership 18 Mar,Gym Membership,2188.0,Subscriptions
18-03-2026,McDonalds 18 Mar,McDonalds,241.0,Food & Dining
18-03-2026,Steam 18 Mar,Steam,1159.0,Entertainment
18-03-2026,Dominos 18 Mar,Dominos,619.0,Food & Dining
18-03-2026,Amazon 18 Mar,Amazon,2344.0,Shopping
18-03-2026,Steam 18 Mar,Steam,581.0,Entertainment
18-03-2026,Dosa Plaza 18 Mar,Dosa Plaza,287.0,Food & Dining
18-03-2026,Big Basket 18 Mar,Big Basket,1959.0,Groceries
18-04-2026,Decathlon 18 Apr,Decathlon,3192.0,Shopping
18-04-2026,Rent Payment 18 Apr,Rent Payment,22572.0,Bills & Utilities
18-04-2026,Swiggy 18 Apr,Swiggy,787.0,Food & Dining
18-04-2026,Metro Card 18 Apr,Metro Card,81.0,Transport
18-04-2026,Flipkart 18 Apr,Flipkart,3430.0,Shopping
18-04-2026,Zepto 18 Apr,Zepto,738.0,Groceries
18-04-2026,Gym Membership 18 Apr,Gym Membership,2817.0,Subscriptions
18-04-2026,Myntra 18 Apr,Myntra,1415.0,Shopping
18-04-2026,Local Cafe 18 Apr,Local Cafe,331.0,Food & Dining
18-04-2026,Myntra 18 Apr,Myntra,2393.0,Shopping
18-04-2026,Ola 18 Apr,Ola,251.0,Transport
18-05-2026,Burger King 18 May,Burger King,328.0,Food & Dining
18-05-2026,Swiggy 18 May,Swiggy,312.0,Food & Dining
18-05-2026,Uber Pool 18 May,Uber Pool,201.0,Transport
18-05-2026,Health Checkup 18 May,Health Checkup,2895.0,Healthcare
18-05-2026,Dominos 18 May,Dominos,764.0,Food & Dining
18-05-2026,Burger King 18 May,Burger King,518.0,Food & Dining
18-06-2026,iCloud 18 Jun,iCloud,158.0,Subscriptions
18-06-2026,Dosa Plaza 18 Jun,Dosa Plaza,175.0,Food & Dining
18-06-2026,BPCL 18 Jun,BPCL,2037.0,Transport
18-06-2026,Random 18 Jun,Random,215.0,Other
18-06-2026,Credit Card Payment 18 Jun,Credit Card Payment,51776.0,Transfers
19-01-2026,Mutual Fund 19 Jan,Mutual Fund,1014.0,Transfers
19-01-2026,Ajio 19 Jan,Ajio,2029.0,Shopping
19-01-2026,Misc Expense 19 Jan,Misc Expense,580.0,Other
19-01-2026,FD Deposit 19 Jan,FD Deposit,22203.0,Transfers
19-01-2026,Flipkart 19 Jan,Flipkart,3811.0,Shopping
19-01-2026,Swiggy 19 Jan,Swiggy,218.0,Food & Dining
19-01-2026,Zomato 19 Jan,Zomato,279.0,Food & Dining
19-02-2026,McDonalds 19 Feb,McDonalds,368.0,Food & Dining
19-02-2026,McDonalds 19 Feb,McDonalds,407.0,Food & Dining
19-02-2026,Metro Card 19 Feb,Metro Card,73.0,Transport
19-02-2026,Blinkit 19 Feb,Blinkit,798.0,Groceries
19-02-2026,DMart 19 Feb,DMart,3285.0,Groceries
19-02-2026,Local Cafe 19 Feb,Local Cafe,156.0,Food & Dining
19-03-2026,Apollo Pharmacy 19 Mar,Apollo Pharmacy,405.0,Healthcare
19-03-2026,Pizza Hut 19 Mar,Pizza Hut,557.0,Food & Dining
19-03-2026,Blinkit 19 Mar,Blinkit,787.0,Groceries
19-03-2026,Netflix 19 Mar,Netflix,714.0,Subscriptions
19-04-2026,Indian Oil 19 Apr,Indian Oil,2472.0,Transport
19-04-2026,Pizza Hut 19 Apr,Pizza Hut,620.0,Food & Dining
19-04-2026,McDonalds 19 Apr,McDonalds,485.0,Food & Dining
19-04-2026,Uber Pool 19 Apr,Uber Pool,230.0,Transport
19-04-2026,Local Grocer 19 Apr,Local Grocer,975.0,Groceries
19-04-2026,Broadband Bill 19 Apr,Broadband Bill,1090.0,Bills & Utilities
19-04-2026,IKEA 19 Apr,IKEA,5114.0,Shopping
19-04-2026,McDonalds 19 Apr,McDonalds,484.0,Food & Dining
19-05-2026,DMart 19 May,DMart,3336.0,Groceries
19-05-2026,Amazon 19 May,Amazon,2747.0,Shopping
19-05-2026,BookMyShow 19 May,BookMyShow,727.0,Entertainment
19-05-2026,Uber 19 May,Uber,323.0,Transport
19-05-2026,Rent Transfer 19 May,Rent Transfer,23362.0,Transfers
19-05-2026,FD Deposit 19 May,FD Deposit,14227.0,Transfers
19-05-2026,Electricity Board 19 May,Electricity Board,949.0,Bills & Utilities
19-05-2026,Broadband Bill 19 May,Broadband Bill,1262.0,Bills & Utilities
19-05-2026,Amazon 19 May,Amazon,1192.0,Shopping
19-05-2026,Google One 19 May,Google One,458.0,Subscriptions
19-06-2026,Mutual Fund 19 Jun,Mutual Fund,2574.0,Transfers
19-06-2026,Burger King 19 Jun,Burger King,351.0,Food & Dining
19-06-2026,Uber Pool 19 Jun,Uber Pool,118.0,Transport
19-06-2026,Steam 19 Jun,Steam,2553.0,Entertainment
19-06-2026,Random 19 Jun,Random,135.0,Other
19-06-2026,DMart 19 Jun,DMart,3464.0,Groceries
20-01-2026,McDonalds 20 Jan,McDonalds,394.0,Food & Dining
20-01-2026,Burger King 20 Jan,Burger King,408.0,Food & Dining
20-01-2026,Local Cafe 20 Jan,Local Cafe,277.0,Food & Dining
20-01-2026,YouTube Premium 20 Jan,YouTube Premium,185.0,Subscriptions
20-02-2026,Blinkit 20 Feb,Blinkit,578.0,Groceries
20-02-2026,Pizza Hut 20 Feb,Pizza Hut,728.0,Food & Dining
20-02-2026,Subway 20 Feb,Subway,268.0,Food & Dining
20-02-2026,Zomato 20 Feb,Zomato,508.0,Food & Dining
20-02-2026,Dosa Plaza 20 Feb,Dosa Plaza,249.0,Food & Dining
20-02-2026,Subway 20 Feb,Subway,256.0,Food & Dining
20-02-2026,Electricity Board 20 Feb,Electricity Board,2911.0,Bills & Utilities
20-02-2026,Nykaa 20 Feb,Nykaa,1112.0,Shopping
20-02-2026,Local Grocer 20 Feb,Local Grocer,419.0,Groceries
20-02-2026,iCloud 20 Feb,iCloud,277.0,Subscriptions
20-03-2026,Gym Membership 20 Mar,Gym Membership,2094.0,Subscriptions
20-03-2026,Electricity Board 20 Mar,Electricity Board,530.0,Bills & Utilities
20-03-2026,BPCL 20 Mar,BPCL,961.0,Transport
20-03-2026,Dominos 20 Mar,Dominos,316.0,Food & Dining
20-04-2026,Uber Pool 20 Apr,Uber Pool,231.0,Transport
20-04-2026,Dominos 20 Apr,Dominos,624.0,Food & Dining
20-04-2026,Big Basket 20 Apr,Big Basket,1222.0,Groceries
20-04-2026,Amazon 20 Apr,Amazon,4487.0,Shopping
20-04-2026,Mutual Fund 20 Apr,Mutual Fund,1245.0,Transfers
20-04-2026,Dominos 20 Apr,Dominos,393.0,Food & Dining
20-04-2026,Spotify 20 Apr,Spotify,173.0,Subscriptions
20-04-2026,Dominos 20 Apr,Dominos,587.0,Food & Dining
20-05-2026,Flipkart 20 May,Flipkart,3635.0,Shopping
20-05-2026,Local Grocer 20 May,Local Grocer,815.0,Groceries
20-05-2026,Practo 20 May,Practo,838.0,Healthcare
20-05-2026,Jio Recharge 20 May,Jio Recharge,695.0,Bills & Utilities
20-05-2026,Amazon Prime 20 May,Amazon Prime,754.0,Subscriptions
20-05-2026,Pizza Hut 20 May,Pizza Hut,717.0,Food & Dining
20-05-2026,Amazon Prime 20 May,Amazon Prime,1162.0,Subscriptions
20-05-2026,Credit Card Payment 20 May,Credit Card Payment,13532.0,Transfers
20-05-2026,Reliance Fresh 20 May,Reliance Fresh,452.0,Groceries
20-06-2026,Misc Expense 20 Jun,Misc Expense,619.0,Other
20-06-2026,Rapido 20 Jun,Rapido,134.0,Transport
20-06-2026,Random 20 Jun,Random,150.0,Other
20-06-2026,Swiggy 20 Jun,Swiggy,260.0,Food & Dining
20-06-2026,Gym Membership 20 Jun,Gym Membership,1745.0,Subscriptions
20-06-2026,Zepto 20 Jun,Zepto,344.0,Groceries
20-06-2026,Flipkart 20 Jun,Flipkart,2250.0,Shopping
20-06-2026,Dominos 20 Jun,Dominos,789.0,Food & Dining
20-06-2026,Steam 20 Jun,Steam,1033.0,Entertainment
20-06-2026,McDonalds 20 Jun,McDonalds,216.0,Food & Dining
20-06-2026,Steam 20 Jun,Steam,1684.0,Entertainment
21-01-2026,Swiggy 21 Jan,Swiggy,600.0,Food & Dining
21-01-2026,Dominos 21 Jan,Dominos,696.0,Food & Dining
21-01-2026,Local Cafe 21 Jan,Local Cafe,275.0,Food & Dining
21-01-2026,Uber Pool 21 Jan,Uber Pool,94.0,Transport
21-01-2026,Zepto 21 Jan,Zepto,843.0,Groceries
21-02-2026,Pizza Hut 21 Feb,Pizza Hut,1016.0,Food & Dining
21-02-2026,Zomato 21 Feb,Zomato,357.0,Food & Dining
21-02-2026,Decathlon 21 Feb,Decathlon,3394.0,Shopping
21-02-2026,Society Maintenance 21 Feb,Society Maintenance,2238.0,Bills & Utilities
21-02-2026,Metro Card 21 Feb,Metro Card,43.0,Transport
21-02-2026,Uber Pool 21 Feb,Uber Pool,231.0,Transport
21-02-2026,Ola 21 Feb,Ola,426.0,Transport
21-02-2026,Metro Card 21 Feb,Metro Card,91.0,Transport
21-02-2026,Credit Card Payment 21 Feb,Credit Card Payment,14174.0,Transfers
21-02-2026,Amazon 21 Feb,Amazon,4592.0,Shopping
21-02-2026,Swiggy 21 Feb,Swiggy,831.0,Food & Dining
21-03-2026,Blinkit 21 Mar,Blinkit,557.0,Groceries
21-03-2026,Airtel Recharge 21 Mar,Airtel Recharge,320.0,Bills & Utilities
21-03-2026,Pizza Hut 21 Mar,Pizza Hut,448.0,Food & Dining
21-03-2026,Mutual Fund 21 Mar,Mutual Fund,4142.0,Transfers
21-03-2026,Uber Pool 21 Mar,Uber Pool,138.0,Transport
21-03-2026,Local Grocer 21 Mar,Local Grocer,950.0,Groceries
21-03-2026,Local Grocer 21 Mar,Local Grocer,908.0,Groceries
21-03-2026,Amazon 21 Mar,Amazon,4950.0,Shopping
21-03-2026,McDonalds 21 Mar,McDonalds,556.0,Food & Dining
21-03-2026,Flipkart 21 Mar,Flipkart,478.0,Shopping
21-03-2026,Mutual Fund 21 Mar,Mutual Fund,1549.0,Transfers
21-04-2026,Dominos 21 Apr,Dominos,558.0,Food & Dining
21-04-2026,Pizza Hut 21 Apr,Pizza Hut,834.0,Food & Dining
21-04-2026,Zomato Dining 21 Apr,Zomato Dining,714.0,Entertainment
21-04-2026,Local Store 21 Apr,Local Store,502.0,Shopping
21-04-2026,Misc Expense 21 Apr,Misc Expense,885.0,Other
21-05-2026,Pizza Hut 21 May,Pizza Hut,828.0,Food & Dining
21-05-2026,Pizza Hut 21 May,Pizza Hut,519.0,Food & Dining
21-05-2026,Big Basket 21 May,Big Basket,1402.0,Groceries
21-05-2026,Swiggy 21 May,Swiggy,444.0,Food & Dining
21-05-2026,Dental Clinic 21 May,Dental Clinic,2595.0,Healthcare
21-05-2026,UPI to Friend 21 May,UPI to Friend,208.0,Transfers
21-05-2026,FD Deposit 21 May,FD Deposit,34790.0,Transfers
21-06-2026,PVR 21 Jun,PVR,542.0,Entertainment
21-06-2026,Cash Withdrawal 21 Jun,Cash Withdrawal,3695.0,Other
21-06-2026,Subway 21 Jun,Subway,334.0,Food & Dining
21-06-2026,Blinkit 21 Jun,Blinkit,333.0,Groceries
21-06-2026,McDonalds 21 Jun,McDonalds,637.0,Food & Dining
21-06-2026,Spotify 21 Jun,Spotify,153.0,Subscriptions
21-06-2026,BookMyShow 21 Jun,BookMyShow,488.0,Entertainment
21-06-2026,Reliance Fresh 21 Jun,Reliance Fresh,2268.0,Groceries
21-06-2026,Blinkit 21 Jun,Blinkit,340.0,Groceries
21-06-2026,Spotify 21 Jun,Spotify,125.0,Subscriptions
21-06-2026,Dominos 21 Jun,Dominos,489.0,Food & Dining
22-01-2026,Water Bill 22 Jan,Water Bill,576.0,Bills & Utilities
22-01-2026,Burger King 22 Jan,Burger King,472.0,Food & Dining
22-01-2026,Rapido 22 Jan,Rapido,70.0,Transport
22-02-2026,Burger King 22 Feb,Burger King,403.0,Food & Dining
22-02-2026,Local Grocer 22 Feb,Local Grocer,658.0,Groceries
22-02-2026,Blinkit 22 Feb,Blinkit,281.0,Groceries
22-02-2026,McDonalds 22 Feb,McDonalds,594.0,Food & Dining
22-02-2026,Local Cafe 22 Feb,Local Cafe,256.0,Food & Dining
22-02-2026,Random 22 Feb,Random,161.0,Other
22-02-2026,Reliance Fresh 22 Feb,Reliance Fresh,1841.0,Groceries
22-02-2026,DMart 22 Feb,DMart,1103.0,Groceries
22-02-2026,Indian Oil 22 Feb,Indian Oil,1329.0,Transport
22-02-2026,Google One 22 Feb,Google One,410.0,Subscriptions
22-02-2026,Zomato 22 Feb,Zomato,647.0,Food & Dining
22-03-2026,Cash Withdrawal 22 Mar,Cash Withdrawal,3091.0,Other
22-03-2026,McDonalds 22 Mar,McDonalds,347.0,Food & Dining
22-03-2026,DMart 22 Mar,DMart,3499.0,Groceries
22-03-2026,Steam 22 Mar,Steam,458.0,Entertainment
22-03-2026,Dosa Plaza 22 Mar,Dosa Plaza,317.0,Food & Dining
22-03-2026,Credit Card Payment 22 Mar,Credit Card Payment,18806.0,Transfers
22-03-2026,Jio Recharge 22 Mar,Jio Recharge,940.0,Bills & Utilities
22-03-2026,Amazon Prime 22 Mar,Amazon Prime,975.0,Subscriptions
22-03-2026,Random 22 Mar,Random,317.0,Other
22-03-2026,Swiggy 22 Mar,Swiggy,324.0,Food & Dining
22-03-2026,Uber 22 Mar,Uber,233.0,Transport
22-03-2026,Dominos 22 Mar,Dominos,1127.0,Food & Dining
22-03-2026,Dominos 22 Mar,Dominos,997.0,Food & Dining
22-04-2026,Flipkart 22 Apr,Flipkart,1227.0,Shopping
22-04-2026,McDonalds 22 Apr,McDonalds,357.0,Food & Dining
22-04-2026,Decathlon 22 Apr,Decathlon,1402.0,Shopping
22-04-2026,Pizza Hut 22 Apr,Pizza Hut,783.0,Food & Dining
22-04-2026,Jio Recharge 22 Apr,Jio Recharge,712.0,Bills & Utilities
22-04-2026,Subway 22 Apr,Subway,307.0,Food & Dining
22-04-2026,Burger King 22 Apr,Burger King,433.0,Food & Dining
22-04-2026,Pizza Hut 22 Apr,Pizza Hut,730.0,Food & Dining
22-04-2026,Blinkit 22 Apr,Blinkit,987.0,Groceries
22-04-2026,Rent Transfer 22 Apr,Rent Transfer,17328.0,Transfers
22-05-2026,Local Cafe 22 May,Local Cafe,181.0,Food & Dining
22-05-2026,Burger King 22 May,Burger King,545.0,Food & Dining
22-05-2026,Ola 22 May,Ola,349.0,Transport
22-05-2026,BPCL 22 May,BPCL,1983.0,Transport
22-05-2026,Flipkart 22 May,Flipkart,2141.0,Shopping
22-05-2026,IKEA 22 May,IKEA,2818.0,Shopping
22-05-2026,Myntra 22 May,Myntra,2916.0,Shopping
22-06-2026,Metro Card 22 Jun,Metro Card,33.0,Transport
22-06-2026,Credit Card Payment 22 Jun,Credit Card Payment,10882.0,Transfers
22-06-2026,Zomato 22 Jun,Zomato,591.0,Food & Dining
23-01-2026,Reliance Fresh 23 Jan,Reliance Fresh,2216.0,Groceries
23-01-2026,Health Checkup 23 Jan,Health Checkup,2653.0,Healthcare
23-01-2026,Reliance Fresh 23 Jan,Reliance Fresh,1713.0,Groceries
23-01-2026,Local Grocer 23 Jan,Local Grocer,596.0,Groceries
23-01-2026,Electricity Board 23 Jan,Electricity Board,1637.0,Bills & Utilities
23-02-2026,PlayStation Store 23 Feb,PlayStation Store,962.0,Entertainment
23-02-2026,Uber Pool 23 Feb,Uber Pool,194.0,Transport
23-02-2026,Burger King 23 Feb,Burger King,371.0,Food & Dining
23-02-2026,Misc Expense 23 Feb,Misc Expense,987.0,Other
23-02-2026,Dominos 23 Feb,Dominos,684.0,Food & Dining
23-02-2026,Random 23 Feb,Random,279.0,Other
23-02-2026,Subway 23 Feb,Subway,233.0,Food & Dining
23-02-2026,Subway 23 Feb,Subway,298.0,Food & Dining
23-02-2026,Misc Expense 23 Feb,Misc Expense,768.0,Other
23-02-2026,Local Cafe 23 Feb,Local Cafe,304.0,Food & Dining
23-03-2026,Parking 23 Mar,Parking,80.0,Transport
23-03-2026,Rent Transfer 23 Mar,Rent Transfer,10690.0,Transfers
23-03-2026,Local Grocer 23 Mar,Local Grocer,436.0,Groceries
23-03-2026,Burger King 23 Mar,Burger King,548.0,Food & Dining
23-03-2026,Ajio 23 Mar,Ajio,1743.0,Shopping
23-03-2026,ATM Fee 23 Mar,ATM Fee,27.0,Other
23-03-2026,Mutual Fund 23 Mar,Mutual Fund,3422.0,Transfers
23-03-2026,Local Cafe 23 Mar,Local Cafe,181.0,Food & Dining
23-04-2026,Flipkart 23 Apr,Flipkart,2271.0,Shopping
23-04-2026,Dosa Plaza 23 Apr,Dosa Plaza,194.0,Food & Dining
23-04-2026,DMart 23 Apr,DMart,1485.0,Groceries
23-05-2026,DMart 23 May,DMart,2463.0,Groceries
23-05-2026,Dosa Plaza 23 May,Dosa Plaza,395.0,Food & Dining
23-05-2026,Big Basket 23 May,Big Basket,671.0,Groceries
23-05-2026,Zomato 23 May,Zomato,462.0,Food & Dining
23-05-2026,BPCL 23 May,BPCL,819.0,Transport
23-05-2026,Decathlon 23 May,Decathlon,1949.0,Shopping
23-05-2026,Zomato 23 May,Zomato,827.0,Food & Dining
23-05-2026,Uber 23 May,Uber,358.0,Transport
23-05-2026,Local Store 23 May,Local Store,1963.0,Shopping
23-05-2026,Uber Pool 23 May,Uber Pool,164.0,Transport
23-06-2026,PlayStation Store 23 Jun,PlayStation Store,1984.0,Entertainment
23-06-2026,Electricity Board 23 Jun,Electricity Board,2934.0,Bills & Utilities
23-06-2026,McDonalds 23 Jun,McDonalds,489.0,Food & Dining
23-06-2026,Amazon Prime 23 Jun,Amazon Prime,827.0,Subscriptions
23-06-2026,Subway 23 Jun,Subway,413.0,Food & Dining
23-06-2026,FD Deposit 23 Jun,FD Deposit,24088.0,Transfers
23-06-2026,Flipkart 23 Jun,Flipkart,3351.0,Shopping
24-01-2026,Cash Withdrawal 24 Jan,Cash Withdrawal,3694.0,Other
24-01-2026,Burger King 24 Jan,Burger King,311.0,Food & Dining
24-01-2026,Pizza Hut 24 Jan,Pizza Hut,1222.0,Food & Dining
24-01-2026,Rent Transfer 24 Jan,Rent Transfer,6271.0,Transfers
24-01-2026,Apollo Pharmacy 24 Jan,Apollo Pharmacy,559.0,Healthcare
24-01-2026,Indian Oil 24 Jan,Indian Oil,1767.0,Transport
24-01-2026,Mutual Fund 24 Jan,Mutual Fund,8928.0,Transfers
24-01-2026,Credit Card Payment 24 Jan,Credit Card Payment,34918.0,Transfers
24-01-2026,Parking 24 Jan,Parking,64.0,Transport
24-01-2026,iCloud 24 Jan,iCloud,263.0,Subscriptions
24-02-2026,BPCL 24 Feb,BPCL,1221.0,Transport
24-02-2026,Zepto 24 Feb,Zepto,355.0,Groceries
24-02-2026,Electricity Board 24 Feb,Electricity Board,1102.0,Bills & Utilities
24-02-2026,Blinkit 24 Feb,Blinkit,1481.0,Groceries
24-02-2026,Dosa Plaza 24 Feb,Dosa Plaza,224.0,Food & Dining
24-02-2026,Society Maintenance 24 Feb,Society Maintenance,1641.0,Bills & Utilities
24-02-2026,Airtel Recharge 24 Feb,Airtel Recharge,607.0,Bills & Utilities
24-02-2026,Nykaa 24 Feb,Nykaa,1316.0,Shopping
24-02-2026,Zomato 24 Feb,Zomato,216.0,Food & Dining
24-03-2026,Zomato 24 Mar,Zomato,560.0,Food & Dining
24-03-2026,McDonalds 24 Mar,McDonalds,275.0,Food & Dining
24-03-2026,Reliance Fresh 24 Mar,Reliance Fresh,2435.0,Groceries
24-03-2026,FD Deposit 24 Mar,FD Deposit,7960.0,Transfers
24-03-2026,Practo 24 Mar,Practo,414.0,Healthcare
24-03-2026,Dominos 24 Mar,Dominos,744.0,Food & Dining
24-03-2026,Zomato 24 Mar,Zomato,611.0,Food & Dining
24-03-2026,Steam 24 Mar,Steam,354.0,Entertainment
24-04-2026,Burger King 24 Apr,Burger King,281.0,Food & Dining
24-04-2026,Local Grocer 24 Apr,Local Grocer,204.0,Groceries
24-04-2026,Airtel Recharge 24 Apr,Airtel Recharge,424.0,Bills & Utilities
24-04-2026,Metro Card 24 Apr,Metro Card,70.0,Transport
24-04-2026,Zomato 24 Apr,Zomato,574.0,Food & Dining
24-04-2026,Amazon Prime 24 Apr,Amazon Prime,419.0,Subscriptions
24-04-2026,Decathlon 24 Apr,Decathlon,3142.0,Shopping
24-04-2026,Society Maintenance 24 Apr,Society Maintenance,2876.0,Bills & Utilities
24-05-2026,DMart 24 May,DMart,1113.0,Groceries
24-05-2026,Swiggy 24 May,Swiggy,733.0,Food & Dining
24-05-2026,Metro Card 24 May,Metro Card,45.0,Transport
24-05-2026,Burger King 24 May,Burger King,306.0,Food & Dining
24-05-2026,Local Store 24 May,Local Store,1469.0,Shopping
24-05-2026,Myntra 24 May,Myntra,1927.0,Shopping
24-05-2026,ATM Fee 24 May,ATM Fee,28.0,Other
24-05-2026,IKEA 24 May,IKEA,6597.0,Shopping
24-05-2026,Parking 24 May,Parking,64.0,Transport
24-05-2026,Rapido 24 May,Rapido,141.0,Transport
24-05-2026,Water Bill 24 May,Water Bill,816.0,Bills & Utilities
24-05-2026,Cash Withdrawal 24 May,Cash Withdrawal,1423.0,Other
24-05-2026,Reliance Fresh 24 May,Reliance Fresh,1938.0,Groceries
24-05-2026,Uber Pool 24 May,Uber Pool,234.0,Transport
24-06-2026,Dosa Plaza 24 Jun,Dosa Plaza,142.0,Food & Dining
24-06-2026,Dosa Plaza 24 Jun,Dosa Plaza,247.0,Food & Dining
24-06-2026,Dosa Plaza 24 Jun,Dosa Plaza,209.0,Food & Dining
24-06-2026,Ola 24 Jun,Ola,159.0,Transport
24-06-2026,Spotify 24 Jun,Spotify,179.0,Subscriptions
24-06-2026,Metro Card 24 Jun,Metro Card,78.0,Transport
24-06-2026,Pizza Hut 24 Jun,Pizza Hut,736.0,Food & Dining
24-06-2026,Metro Card 24 Jun,Metro Card,99.0,Transport
24-06-2026,Health Checkup 24 Jun,Health Checkup,4756.0,Healthcare
25-01-2026,Amazon Prime 25 Jan,Amazon Prime,503.0,Subscriptions
25-01-2026,Mutual Fund 25 Jan,Mutual Fund,8950.0,Transfers
25-01-2026,Cash Withdrawal 25 Jan,Cash Withdrawal,2760.0,Other
25-01-2026,Practo 25 Jan,Practo,700.0,Healthcare
25-01-2026,Pizza Hut 25 Jan,Pizza Hut,495.0,Food & Dining
25-01-2026,Airtel Recharge 25 Jan,Airtel Recharge,910.0,Bills & Utilities
25-01-2026,Metro Card 25 Jan,Metro Card,54.0,Transport
25-01-2026,Dosa Plaza 25 Jan,Dosa Plaza,401.0,Food & Dining
25-01-2026,Random 25 Jan,Random,449.0,Other
25-01-2026,Local Cafe 25 Jan,Local Cafe,524.0,Food & Dining
25-01-2026,Misc Expense 25 Jan,Misc Expense,471.0,Other
25-01-2026,Dosa Plaza 25 Jan,Dosa Plaza,383.0,Food & Dining
25-01-2026,Blinkit 25 Jan,Blinkit,517.0,Groceries
25-01-2026,Electricity Board 25 Jan,Electricity Board,1295.0,Bills & Utilities
25-02-2026,Swiggy 25 Feb,Swiggy,543.0,Food & Dining
25-02-2026,Uber 25 Feb,Uber,489.0,Transport
25-02-2026,Rapido 25 Feb,Rapido,79.0,Transport
25-02-2026,Subway 25 Feb,Subway,318.0,Food & Dining
25-02-2026,Rent Payment 25 Feb,Rent Payment,19415.0,Bills & Utilities
25-02-2026,Zepto 25 Feb,Zepto,383.0,Groceries
25-02-2026,Practo 25 Feb,Practo,864.0,Healthcare
25-02-2026,Reliance Fresh 25 Feb,Reliance Fresh,1570.0,Groceries
25-02-2026,McDonalds 25 Feb,McDonalds,299.0,Food & Dining
25-03-2026,Dosa Plaza 25 Mar,Dosa Plaza,157.0,Food & Dining
25-03-2026,Ola 25 Mar,Ola,232.0,Transport
25-03-2026,Dominos 25 Mar,Dominos,604.0,Food & Dining
25-03-2026,YouTube Premium 25 Mar,YouTube Premium,176.0,Subscriptions
25-04-2026,Local Store 25 Apr,Local Store,551.0,Shopping
25-04-2026,Decathlon 25 Apr,Decathlon,3757.0,Shopping
25-04-2026,PlayStation Store 25 Apr,PlayStation Store,2036.0,Entertainment
25-04-2026,ATM Fee 25 Apr,ATM Fee,22.0,Other
25-04-2026,Broadband Bill 25 Apr,Broadband Bill,1424.0,Bills & Utilities
25-04-2026,Zomato 25 Apr,Zomato,981.0,Food & Dining
25-04-2026,Local Grocer 25 Apr,Local Grocer,516.0,Groceries
25-04-2026,Myntra 25 Apr,Myntra,717.0,Shopping
25-04-2026,Amazon Prime 25 Apr,Amazon Prime,1109.0,Subscriptions
25-04-2026,Local Store 25 Apr,Local Store,1481.0,Shopping
25-05-2026,Metro Card 25 May,Metro Card,32.0,Transport
25-05-2026,FD Deposit 25 May,FD Deposit,9011.0,Transfers
25-05-2026,Spotify 25 May,Spotify,146.0,Subscriptions
25-06-2026,Amazon Prime 25 Jun,Amazon Prime,663.0,Subscriptions
25-06-2026,Indian Oil 25 Jun,Indian Oil,1059.0,Transport
25-06-2026,ATM Fee 25 Jun,ATM Fee,22.0,Other
25-06-2026,Swiggy 25 Jun,Swiggy,587.0,Food & Dining
25-06-2026,YouTube Premium 25 Jun,YouTube Premium,183.0,Subscriptions
25-06-2026,Rapido 25 Jun,Rapido,149.0,Transport
25-06-2026,Burger King 25 Jun,Burger King,504.0,Food & Dining
25-06-2026,Pizza Hut 25 Jun,Pizza Hut,454.0,Food & Dining
26-01-2026,Zepto 26 Jan,Zepto,1189.0,Groceries
26-01-2026,ATM Fee 26 Jan,ATM Fee,25.0,Other
